X,Y,Z,t
0.723,-0.752,9.558,5
0.667,-0.681,9.659,5
0.559,-0.658,9.283,5
0.438,-0.67,9.048,5
0.407,-0.71,9.117,5
0.398,-0.743,9.722,5
0.434,-0.77,9.945,5
0.5,-0.801,9.774,5
0.527,-0.653,9.442,5
0.566,-0.501,9.657,5
0.569,-0.422,9.883,5
0.584,-0.431,9.626,4
0.587,-0.514,9.364,5
0.569,-0.664,9.454,5
0.536,-0.674,9.72,5
0.436,-0.506,9.646,5
0.4,-0.417,9.38,5
0.404,-0.439,9.302,5
0.435,-0.515,9.522,5
0.429,-0.597,9.998,5
0.435,-0.72,10.295,5
0.455,-0.757,10.135,5
0.476,-0.789,10.278,5
0.487,-0.851,10.715,5
0.547,-0.974,10.667,5
0.612,-1.156,10.182,5
0.712,-1.217,9.905,5
0.786,-1.167,9.888,5
0.811,-1.019,9.86,5
0.821,-0.877,9.777,4
0.746,-0.712,9.904,5
0.69,-0.636,9.803,5
0.62,-0.593,9.752,5
0.619,-0.612,9.74,5
0.637,-0.701,9.524,5
0.767,-0.766,9.363,5
0.936,-0.76,9.762,5
0.974,-0.616,9.999,5
0.973,-0.51,9.835,5
0.864,-0.466,9.611,5
0.808,-0.519,9.698,5
0.689,-0.526,9.745,5
0.652,-0.488,9.593,5
0.563,-0.421,9.601,5
0.501,-0.417,9.678,5
0.411,-0.425,9.771,5
0.38,-0.422,9.839,4
0.388,-0.453,9.592,5
0.414,-0.413,9.605,5
0.478,-0.405,9.472,5
0.6,-0.421,9.7,5
0.642,-0.455,9.858,5
0.584,-0.488,9.779,5
0.518,-0.519,9.716,5
0.456,-0.561,9.771,5
0.435,-0.53,9.686,5
0.454,-0.5,9.404,5
0.507,-0.469,9.22,5
0.589,-0.473,9.305,5
0.665,-0.531,9.33,5
0.718,-0.568,9.184,5
0.747,-0.593,9.101,5
0.756,-0.6,9.08,5
0.819,-0.616,9.39,5
0.893,-0.603,9.25,4
0.984,-0.544,9.144,5
1.088,-0.503,8.804,5
1.097,-0.521,8.935,5
1.106,-0.541,9.176,5
1.057,-0.478,9.052,5
1.048,-0.383,8.801,5
1.024,-0.282,8.903,5
0.97,-0.305,9.037,5
0.948,-0.316,9.33,5
0.936,-0.381,9.381,5
0.853,-0.422,9.5,5
0.79,-0.457,9.583,5
0.747,-0.489,9.831,5
0.749,-0.536,9.84,5
0.732,-0.54,9.617,5
0.755,-0.543,9.424,5
0.748,-0.534,9.39,5
0.711,-0.519,9.4,4
0.623,-0.499,9.291,5
0.534,-0.404,9.185,5
0.597,-0.325,8.941,5
0.612,-0.241,9.016,5
0.663,-0.208,9.209,5
0.622,-0.281,9.603,5
0.564,-0.361,9.463,5
0.531,-0.383,9.473,5
0.558,-0.385,9.708,5
0.589,-0.406,9.888,5
0.693,-0.438,9.805,5
0.726,-0.521,9.694,5
0.739,-0.623,9.738,5
0.692,-0.709,9.956,5
0.655,-0.75,9.983,5
0.632,-0.702,9.841,5
0.628,-0.601,9.543,5
0.705,-0.497,9.6,4
0.808,-0.442,9.885,5
0.916,-0.512,10.045,5
0.987,-0.584,9.751,5
1.053,-0.653,9.86,5
1.059,-0.651,9.978,5
1.018,-0.579,10.069,5
1.053,-0.503,10.055,5
1.083,-0.473,10.098,5
1.049,-0.479,10.019,5
1.038,-0.489,10.002,5
0.995,-0.441,9.766,5
0.877,-0.323,9.631,5
0.836,-0.25,9.731,5
0.754,-0.205,9.825,5
0.688,-0.252,10,5
0.641,-0.316,10.049,5
0.61,-0.394,9.918,5
0.596,-0.407,9.95,4
0.604,-0.401,9.913,5
0.634,-0.363,9.783,5
0.624,-0.321,9.788,5
0.57,-0.314,9.82,5
0.473,-0.264,9.778,5
0.358,-0.271,9.723,5
0.256,-0.287,9.633,5
0.153,-0.303,9.624,5
0.12,-0.356,9.915,5
0.14,-0.403,10.164,5
0.204,-0.463,10.325,5
0.293,-0.537,10.179,5
0.413,-0.595,10.052,5
0.473,-0.614,9.941,5
0.482,-0.562,9.862,5
0.524,-0.512,9.664,5
0.542,-0.516,9.546,4
0.544,-0.56,9.452,5
0.574,-0.603,9.42,5
0.593,-0.517,9.612,5
0.667,-0.499,9.555,5
0.74,-0.422,9.533,5
0.812,-0.364,9.34,5
0.885,-0.394,9.248,5
0.915,-0.347,9.54,5
0.887,-0.344,9.529,5
0.821,-0.397,9.444,5
0.719,-0.392,9.389,5
0.639,-0.313,9.478,5
0.532,-0.208,9.671,5
0.509,-0.191,9.513,5
0.507,-0.239,9.223,5
0.494,-0.275,9.244,5
0.481,-0.274,9.262,5
0.466,-0.194,9.255,4
0.424,-0.071,8.942,5
0.381,-0.132,8.954,5
0.294,-0.258,9.3,5
0.231,-0.263,9.406,5
0.137,-0.199,9.407,5
0.102,-0.159,9.408,5
0.103,-0.247,9.574,5
0.127,-0.442,9.885,5
0.164,-0.518,10.048,5
0.201,-0.505,10.116,5
0.296,-0.461,9.896,5
0.345,-0.493,9.395,5
0.449,-0.572,9.095,5
0.503,-0.563,9.269,5
0.504,-0.468,9.498,5
0.52,-0.379,9.578,5
0.481,-0.324,9.444,5
0.494,-0.334,9.613,4
0.506,-0.364,10.097,5
0.552,-0.383,10.275,5
0.688,-0.371,10.15,5
0.799,-0.453,9.559,5
0.976,-0.543,9.725,5
1.1,-0.698,9.885,5
1.113,-0.75,9.557,5
1.054,-0.62,9.364,5
0.986,-0.371,9.506,5
0.932,-0.299,9.699,5
0.941,-0.347,9.914,5
0.986,-0.436,9.854,5
1.038,-0.443,10.001,5
1.123,-0.386,10.225,5
1.116,-0.292,10.286,5
1.124,-0.263,10.108,5
1.109,-0.317,9.972,5
1.057,-0.398,9.988,4
1,-0.459,10.002,5
0.899,-0.418,9.882,5
0.792,-0.34,9.969,5
0.724,-0.307,10.135,5
0.648,-0.245,10.137,5
0.589,-0.181,10.035,5
0.521,-0.049,9.717,5
0.502,0.006,9.65,5
0.512,-0.106,9.836,5
0.557,-0.239,9.731,5
0.56,-0.314,9.646,5
0.536,-0.369,9.587,5
0.433,-0.325,9.642,5
0.413,-0.291,9.657,5
0.392,-0.283,9.415,5
0.458,-0.368,9.251,5
0.521,-0.371,9.333,5
0.614,-0.425,9.272,4
0.679,-0.466,9.232,5
0.671,-0.438,9.14,5
0.649,-0.439,9.129,5
0.662,-0.433,9.355,5
0.663,-0.481,9.329,5
0.685,-0.49,9.495,5
0.749,-0.474,9.851,5
0.853,-0.529,9.973,5
0.977,-0.594,10.141,5
1.067,-0.668,9.94,5
1.137,-0.69,9.555,5
1.246,-0.633,9.394,5
1.314,-0.586,9.2,5
1.343,-0.461,9.167,5
1.295,-0.326,9.308,5
1.133,-0.242,9.305,5
1.03,-0.081,9.509,5
0.907,-0.044,9.577,4
0.886,-0.102,9.292,5
0.9,-0.172,9.375,5
0.913,-0.246,9.58,5
0.935,-0.284,9.761,5
0.888,-0.32,9.493,5
0.841,-0.37,9.217,5
0.832,-0.375,9.174,5
0.796,-0.358,9.407,5
0.787,-0.285,9.329,5
0.782,-0.203,9.125,5
0.728,-0.19,9.091,5
0.607,-0.198,9.324,5
0.531,-0.207,9.684,5
0.51,-0.182,9.826,5
0.513,-0.245,9.684,5
0.578,-0.365,9.642,5
0.701,-0.442,9.86,4
0.761,-0.515,10.051,5
0.765,-0.504,9.984,5
0.699,-0.454,9.743,5
0.675,-0.486,9.714,5
0.677,-0.483,9.938,5
0.716,-0.414,9.88,5
0.834,-0.302,9.512,5
0.9,-0.253,9.383,5
0.93,-0.318,9.518,5
0.966,-0.377,9.694,5
0.943,-0.431,9.854,5
0.911,-0.405,9.645,5
0.875,-0.387,9.541,5
0.903,-0.375,9.727,5
0.956,-0.397,9.904,5
0.978,-0.446,9.828,5
0.935,-0.486,9.596,5
0.88,-0.467,9.472,4
0.809,-0.437,9.78,5
0.715,-0.345,9.88,5
0.613,-0.246,9.881,5
0.521,-0.209,9.909,5
0.403,-0.21,10.125,5
0.361,-0.226,10.393,5
0.364,-0.224,10.398,5
0.399,-0.303,10.344,5
0.451,-0.323,10.402,5
0.467,-0.372,10.283,5
0.436,-0.368,10.218,5
0.361,-0.323,9.961,5
0.224,-0.292,9.846,5
0.157,-0.226,9.698,5
0.148,-0.172,9.734,5
0.195,-0.156,9.711,5
0.262,-0.139,9.778,5
0.303,-0.108,9.843,4
0.344,-0.119,9.714,5
0.312,-0.189,9.488,5
0.304,-0.289,9.505,5
0.359,-0.352,9.525,5
0.491,-0.329,9.561,5
0.591,-0.332,9.511,5
0.662,-0.29,9.459,5
0.696,-0.239,9.645,5
0.696,-0.181,9.79,5
0.668,-0.186,9.726,5
0.663,-0.16,9.516,5
0.722,-0.192,9.363,5
0.805,-0.269,9.479,5
0.845,-0.282,9.398,5
0.877,-0.341,9.423,5
0.86,-0.392,9.407,5
0.833,-0.385,9.591,5
0.767,-0.369,9.729,4
0.7,-0.189,9.921,5
0.678,-0.03,9.933,5
0.69,-0.024,9.819,5
0.695,-0.108,9.63,5
0.636,-0.267,9.492,5
0.604,-0.346,9.33,5
0.538,-0.359,9.139,5
0.475,-0.353,8.909,5
0.334,-0.302,8.984,5
0.206,-0.222,9.181,5
0.115,-0.032,9.33,5
0.083,0.047,9.358,5
0.138,0.079,9.485,5
0.261,0.066,9.788,5
0.397,-0.059,9.898,5
0.478,-0.214,9.35,5
0.516,-0.313,9.102,5
0.495,-0.391,9.021,4
0.389,-0.392,9.311,5
0.329,-0.386,9.346,5
0.274,-0.297,9.267,5
0.272,-0.206,9.419,5
0.323,-0.105,9.783,5
0.478,-0.149,9.998,5
0.612,-0.343,10.165,5
0.75,-0.412,10.072,5
0.879,-0.491,9.807,5
0.959,-0.515,9.441,5
1.01,-0.578,9.318,5
0.967,-0.559,9.353,5
0.907,-0.497,9.477,5
0.825,-0.468,9.487,5
0.762,-0.332,9.398,5
0.728,-0.249,9.24,5
0.787,-0.143,9.364,4
0.824,-0.019,9.689,5
0.855,-0.08,9.956,5
0.882,-0.225,9.799,5
0.897,-0.43,9.46,5
0.914,-0.555,9.281,5
0.854,-0.568,9.427,5
0.789,-0.491,9.463,5
0.708,-0.273,9.385,5
0.608,-0.106,9.489,5
0.489,-0.1,9.665,5
0.378,-0.114,9.952,5
0.316,-0.216,9.884,5
0.305,-0.195,9.881,5
0.358,-0.167,10.091,5
0.41,-0.237,10.185,5
0.456,-0.387,10.199,5
0.453,-0.527,10.069,5
0.449,-0.549,10.062,4
0.455,-0.552,9.86,5
0.473,-0.464,9.617,5
0.481,-0.397,9.61,5
0.519,-0.429,9.84,5
0.537,-0.386,9.828,5
0.516,-0.328,9.673,5
0.477,-0.336,9.491,5
0.505,-0.362,9.463,5
0.566,-0.344,9.533,5
0.677,-0.327,9.393,5
0.862,-0.276,9.464,5
1.025,-0.246,9.734,5
1.102,-0.3,9.787,5
1.165,-0.401,9.561,5
1.136,-0.448,9.415,5
1.158,-0.403,9.569,5
1.085,-0.256,10.02,5
1.074,-0.077,10.042,4
1.008,-0.157,10.19,5
0.963,-0.228,9.905,5
0.982,-0.306,9.938,5
0.982,-0.334,10.05,5
1.017,-0.369,9.934,5
1.021,-0.381,9.683,5
1.029,-0.457,9.686,5
1.008,-0.518,9.842,5
0.963,-0.49,9.98,5
0.928,-0.423,9.931,5
0.848,-0.365,9.866,5
0.81,-0.405,9.85,5
0.781,-0.5,9.994,5
0.782,-0.646,10.066,5
0.764,-0.734,10.004,5
0.708,-0.752,9.978,5
0.648,-0.758,9.981,5
0.593,-0.714,9.992,4
0.549,-0.729,9.851,5
0.533,-0.754,9.588,5
0.521,-0.746,9.381,5
0.531,-0.727,9.529,5
0.539,-0.716,9.644,5
0.487,-0.677,9.458,5
0.519,-0.63,9.327,5
0.534,-0.544,9.358,5
0.541,-0.367,9.541,5
0.597,-0.263,9.587,5
0.65,-0.254,9.635,5
0.67,-0.294,9.341,5
0.709,-0.349,9.232,5
0.709,-0.326,9.551,5
0.712,-0.268,9.674,5
0.713,-0.201,9.745,5
0.733,-0.183,9.602,4
0.73,-0.272,9.451,5
0.753,-0.364,9.566,5
0.768,-0.391,9.813,5
0.779,-0.321,9.795,5
0.775,-0.198,9.803,5
0.778,-0.196,9.6,5
0.82,-0.285,9.875,5
0.797,-0.432,9.983,5
0.768,-0.493,9.961,5
0.7,-0.497,9.6,5
0.676,-0.498,9.417,5
0.522,-0.525,9.459,5
0.621,-0.607,9.568,5
0.521,-0.673,9.537,5
0.359,-0.682,9.514,5
0.201,-0.679,9.445,5
0.121,-0.666,9.391,5
0.141,-0.649,9.486,4
0.209,-0.705,9.472,5
0.29,-0.764,9.332,5
0.324,-0.82,9.238,5
0.294,-0.858,9.306,5
0.195,-0.802,9.507,5
0.113,-0.697,9.445,5
0.058,-0.542,9.304,5
0.126,-0.439,9.357,5
0.216,-0.432,9.548,5
0.327,-0.547,9.786,5
0.36,-0.654,9.749,5
0.326,-0.7,9.502,5
0.283,-0.629,9.517,5
0.294,-0.466,9.618,5
0.339,-0.313,9.734,5
0.354,-0.279,9.559,5
0.423,-0.266,9.453,5
0.492,-0.292,9.423,4
0.49,-0.296,9.359,5
0.544,-0.289,9.34,5
0.569,-0.272,9.538,5
0.59,-0.33,9.469,5
0.614,-0.425,9.345,5
0.631,-0.501,9.272,5
0.61,-0.606,9.331,5
0.605,-0.66,9.485,5
0.621,-0.687,9.601,5
0.641,-0.733,9.634,5
0.66,-0.766,9.739,5
0.642,-0.771,9.547,5
0.517,-0.826,9.413,5
0.431,-0.882,9.246,5
0.384,-0.925,9.147,5
0.378,-0.934,9.161,5
0.396,-0.907,9.334,5
0.408,-0.912,9.562,4
0.408,-0.921,9.484,5
0.415,-0.883,9.415,5
0.37,-0.809,9.538,5
0.389,-0.686,9.549,5
0.452,-0.631,9.557,5
0.502,-0.618,9.571,5
0.541,-0.672,9.734,5
0.472,-0.699,9.926,5
0.42,-0.707,9.809,5
0.272,-0.695,9.379,5
0.214,-0.577,9.113,5
0.235,-0.455,9.089,5
0.27,-0.445,9.281,5
0.364,-0.43,9.333,5
0.426,-0.35,9.3,5
0.455,-0.251,9.467,5
0.495,-0.215,9.843,5
0.543,-0.193,9.95,4
0.617,-0.217,9.951,5
0.674,-0.239,9.93,5
0.681,-0.338,10.004,5
0.684,-0.451,10.055,5
0.662,-0.634,9.822,5
0.569,-0.71,9.541,5
0.517,-0.744,9.458,5
0.484,-0.73,9.655,5
0.454,-0.743,9.793,5
0.454,-0.725,9.63,5
0.393,-0.814,9.769,5
0.417,-0.896,10.078,5
0.496,-0.915,10.075,5
0.597,-0.944,10.184,5
0.622,-1.008,10.166,5
0.663,-1.102,10.017,5
0.703,-1.181,9.876,4
0.703,-1.187,9.602,5
0.648,-1.055,9.433,5
0.571,-0.886,9.599,5
0.485,-0.723,9.608,5
0.4,-0.639,9.526,5
0.371,-0.679,9.416,5
0.376,-0.678,9.723,5
0.402,-0.701,9.621,5
0.514,-0.735,9.484,5
0.668,-0.753,9.516,5
0.808,-0.686,9.803,5
0.89,-0.655,9.855,5
0.954,-0.608,9.729,5
0.903,-0.531,9.61,5
0.831,-0.475,9.692,5
0.758,-0.417,10.045,5
0.621,-0.377,10.079,5
0.567,-0.363,9.901,4
0.55,-0.489,9.781,5
0.56,-0.599,9.949,5
0.573,-0.676,10.177,5
0.6,-0.729,10.227,5
0.664,-0.725,10.123,5
0.677,-0.722,10.015,5
0.696,-0.746,9.909,5
0.647,-0.788,10.204,5
0.597,-0.826,10.138,5
0.537,-0.914,9.916,5
0.497,-0.958,9.769,5
0.485,-1.013,9.81,5
0.493,-1.039,9.677,5
0.438,-1.059,9.647,5
0.38,-1.051,9.612,5
0.356,-1.061,9.454,5
0.329,-1.128,9.368,5
0.291,-1.122,9.642,4
0.297,-1.066,9.855,5
0.259,-1.034,9.787,5
0.251,-0.97,9.756,5
0.253,-0.971,9.882,5
0.31,-0.963,9.873,5
0.417,-0.942,9.747,5
0.49,-0.884,9.55,5
0.509,-0.805,9.526,5
0.498,-0.722,9.474,5
0.447,-0.566,9.313,5
0.419,-0.451,9.259,5
0.382,-0.401,9.146,5
0.388,-0.387,9.277,5
0.399,-0.449,9.379,5
0.443,-0.513,9.631,5
0.461,-0.507,9.795,5
0.457,-0.459,9.902,5
0.465,-0.425,9.834,4
0.463,-0.401,9.847,5
0.476,-0.471,9.623,5
0.448,-0.564,9.562,5
0.439,-0.765,9.404,5
0.416,-0.865,9.215,5
0.358,-0.897,9.048,5
0.245,-0.863,8.954,5
0.142,-0.876,8.77,5
0.107,-0.902,8.883,5
0.107,-0.886,8.953,5
0.197,-0.809,9.104,5
0.291,-0.86,9.361,5
0.403,-0.955,9.695,5
0.55,-1.173,9.685,5
0.607,-1.356,9.848,5
0.531,-1.482,9.742,5
0.436,-1.44,9.509,5
0.37,-1.434,9.115,4
0.394,-1.484,9.107,5
0.424,-1.548,9.29,5
0.455,-1.46,9.523,5
0.522,-1.238,9.55,5
0.544,-0.961,9.65,5
0.57,-0.73,9.683,5
0.578,-0.639,9.738,5
0.627,-0.686,9.84,5
0.696,-0.712,9.807,5
0.725,-0.752,9.61,5
0.773,-0.751,9.497,5
0.808,-0.753,9.638,5
0.822,-0.725,9.85,5
0.775,-0.659,9.666,5
0.695,-0.553,9.422,5
0.603,-0.479,9.488,5
0.564,-0.394,9.561,4
0.507,-0.413,9.788,5
0.487,-0.532,9.761,5
0.443,-0.674,9.703,5
0.395,-0.785,9.707,5
0.324,-0.867,9.704,5
0.33,-0.897,9.765,5
0.357,-0.928,9.559,5
0.393,-0.946,9.521,5
0.486,-0.962,9.824,5
0.486,-0.904,9.99,5
0.483,-0.876,9.748,5
0.417,-0.874,9.602,5
0.39,-0.936,9.682,5
0.394,-1.1,9.764,5
0.428,-1.235,9.716,5
0.482,-1.302,9.531,5
0.507,-1.362,9.445,5
0.564,-1.379,9.544,4
0.592,-1.335,9.586,5
0.686,-1.289,9.662,5
0.754,-1.212,9.496,5
0.744,-1.16,9.579,5
0.753,-1.069,9.611,5
0.758,-0.997,9.699,5
0.725,-0.941,9.483,5
0.768,-0.915,9.347,5
0.849,-0.9,9.349,5
0.893,-0.864,9.47,5
0.926,-0.762,9.434,5
0.922,-0.595,9.286,5
0.87,-0.456,9.348,5
0.82,-0.362,9.74,5
0.695,-0.346,9.941,5
0.601,-0.422,9.887,5
0.538,-0.547,9.752,5
0.468,-0.729,9.627,4
0.385,-0.946,9.605,5
0.322,-1.049,9.545,5
0.289,-0.999,9.482,5
0.286,-0.846,9.339,5
0.271,-0.675,9.376,5
0.289,-0.61,9.73,5
0.312,-0.673,9.899,5
0.276,-0.815,9.615,5
0.318,-0.981,9.343,5
0.291,-1.088,9.514,5
0.228,-1.166,9.577,5
0.25,-1.216,9.667,5
0.192,-1.29,9.416,5
0.153,-1.32,9.283,5
0.113,-1.321,9.509,5
0.153,-1.283,9.887,5
0.281,-1.172,9.73,5
0.386,-1.18,9.331,4
0.501,-1.236,9.172,5
0.559,-1.278,9.362,5
0.571,-1.274,9.389,5
0.544,-1.218,9.23,5
0.502,-1.082,9.108,5
0.517,-0.975,9.325,5
0.577,-0.932,9.686,5
0.652,-0.821,9.956,5
0.716,-0.73,10.135,5
0.717,-0.653,10.288,5
0.706,-0.635,10.485,5
0.712,-0.73,10.379,5
0.67,-0.851,10.174,5
0.667,-1.019,9.911,5
0.688,-1.092,9.711,5
0.656,-1.074,9.519,5
0.534,-0.964,9.494,5
0.432,-0.776,9.388,4
0.424,-0.627,9.494,5
0.423,-0.615,9.814,5
0.417,-0.567,9.964,5
0.42,-0.496,9.872,5
0.419,-0.527,9.866,5
0.406,-0.729,9.744,5
0.318,-1.029,9.513,5
0.285,-1.286,9.57,5
0.257,-1.391,9.629,5
0.215,-1.339,9.826,5
0.166,-1.282,9.608,5
0.088,-1.251,9.58,5
0.103,-1.185,9.747,5
0.097,-1.129,9.821,5
0.093,-1.102,9.688,5
0.085,-1.09,9.432,5
0.102,-1.109,9.3,5
0.149,-1.164,9.342,4
0.199,-1.17,9.263,5
0.269,-1.106,8.956,5
0.272,-1.067,9.138,5
0.362,-0.997,9.175,5
0.435,-0.933,9.128,5
0.444,-0.941,9.263,5
0.457,-0.96,9.415,5
0.442,-0.984,9.769,5
0.409,-0.944,10.314,5
0.309,-0.828,10.651,5
0.234,-0.681,10.548,5
0.19,-0.611,10.187,5
0.216,-0.745,9.73,5
0.263,-1.08,9.019,5
0.332,-1.379,8.56,5
0.295,-1.383,8.035,5
0.15,-1.21,7.594,4
-0.068,-0.884,7.584,5
-0.372,-0.517,8.363,5
-0.538,-0.14,9.45,5
-0.549,0.134,9.791,5
-0.335,0.163,9.517,5
-0.016,0.039,9.754,5
0.23,-0.247,10.68,5
0.324,-0.704,10.994,5
0.258,-1.183,9.305,5
0.076,-1.644,7.962,5
-0.035,-1.926,7.489,5
-0.153,-1.843,8.38,5
-0.131,-1.535,8.736,5
0.169,-0.927,8.313,5
-0.029,-1.003,7.878,5
-0.268,-0.852,9.284,5
-0.27,-0.627,10.832,5
-0.104,-0.396,11.319,4
0.146,-0.189,10.306,5
0.394,-0.189,9.283,5
0.696,-0.437,9.378,5
0.863,-0.811,9.955,5
0.827,-1.282,9.488,5
0.718,-1.555,8.824,5
0.698,-1.628,8.443,5
0.624,-1.612,9.084,5
0.56,-1.458,9.79,5
0.475,-1.107,9.585,5
0.34,-0.727,9.476,5
0.247,-0.473,9.61,5
0.249,-0.383,10.094,5
0.324,-0.482,10.095,5
0.518,-0.563,9.651,5
0.812,-0.722,9.532,5
1.002,-0.883,9.709,5
1.06,-1.085,9.709,4
0.93,-1.264,9.464,5
0.782,-1.344,9.133,5
0.677,-1.289,9.168,5
0.589,-1.072,9.263,5
0.509,-0.817,9.406,5
0.509,-0.604,9.448,5
0.512,-0.518,9.816,5
0.499,-0.56,10.093,5
0.528,-0.684,9.988,5
0.507,-0.847,9.905,5
0.551,-1.045,9.85,5
0.619,-1.216,9.846,5
0.721,-1.249,9.817,5
0.736,-1.317,9.665,5
0.735,-1.339,9.308,5
0.693,-1.365,9.283,5
0.677,-1.357,9.27,5
0.696,-1.214,9.443,4
0.768,-1.067,9.41,5
0.877,-0.936,9.686,5
0.924,-0.836,9.932,5
0.943,-0.827,10.029,5
0.897,-0.854,9.776,5
0.851,-0.961,9.719,5
0.851,-1.172,9.803,5
0.828,-1.354,10.007,5
0.853,-1.426,9.963,5
0.936,-1.416,9.82,5
0.963,-1.343,9.729,5
0.974,-1.381,9.621,5
0.965,-1.422,9.701,5
0.943,-1.271,9.787,5
0.945,-1.083,9.818,5
0.988,-0.912,9.804,5
1.061,-0.842,9.977,5
1.067,-0.896,10.235,4
1.041,-0.952,10.196,5
1.015,-1.037,10.065,5
0.982,-1.153,9.814,5
0.98,-1.354,9.86,5
1.022,-1.486,9.98,5
1.034,-1.475,10.134,5
0.995,-1.407,10.173,5
0.967,-1.225,10.169,5
0.933,-1.2,10.122,5
0.952,-1.295,9.987,5
0.964,-1.405,9.859,5
0.986,-1.488,9.503,5
0.975,-1.454,9.504,5
0.959,-1.341,9.531,5
0.954,-1.19,9.61,5
0.911,-1.033,9.557,5
0.908,-0.941,9.468,4
0.957,-0.901,9.574,5
1.028,-0.906,9.861,5
1.05,-1.011,9.9,5
1.059,-1.161,9.945,5
0.987,-1.28,9.873,5
0.772,-1.273,9.978,5
0.609,-1.197,10,5
0.501,-1.104,9.824,5
0.463,-1.103,9.491,5
0.555,-1.152,9.455,5
0.684,-1.097,9.537,5
0.821,-1.023,9.601,5
0.865,-0.89,9.404,5
0.922,-0.824,9.191,5
0.871,-0.846,9.32,5
0.752,-0.934,9.406,5
0.712,-0.896,9.383,5
0.655,-0.818,9.336,4
0.621,-0.823,9.736,5
0.601,-0.946,9.979,5
0.592,-1.112,10.169,5
0.607,-1.184,10.06,5
0.601,-1.187,9.982,5
0.634,-1.259,9.768,5
0.721,-1.371,9.525,5
0.803,-1.428,9.269,5
0.868,-1.318,9.242,5
0.928,-1.216,9.277,5
0.881,-1.145,9.44,5
0.796,-1.068,9.712,5
0.716,-1.056,9.992,5
0.664,-1.098,10.057,5
0.636,-1.113,9.889,5
0.674,-1.191,9.694,5
0.719,-1.301,9.627,5
0.789,-1.36,9.699,4
0.85,-1.414,9.705,5
0.863,-1.426,9.618,5
0.819,-1.398,9.782,5
0.759,-1.172,9.845,5
0.651,-1.144,10.009,5
0.565,-1.02,9.842,5
0.506,-0.974,9.932,5
0.506,-1.011,10.044,5
0.562,-1.077,10.107,5
0.574,-1.184,9.89,5
0.609,-1.181,9.759,5
0.594,-1.161,9.753,5
0.58,-1.155,9.848,5
0.575,-1.103,9.545,5
0.567,-1.079,9.336,5
0.581,-1.049,9.236,5
0.518,-1.072,9.367,5
0.411,-1.132,9.275,4
0.31,-1.176,9.191,5
0.166,-1.122,9.428,5
0.069,-1.04,10.113,5
0.084,-1.03,10.554,5
0.222,-1.011,10.575,5
0.356,-1.009,10.351,5
0.427,-0.964,10.514,5
0.415,-0.97,10.455,5
0.401,-1.159,9.559,5
0.394,-1.57,8.662,5
0.341,-1.803,8.379,5
0.27,-1.715,8.514,5
0.171,-1.309,8.78,5
0.09,-0.876,8.858,5
0.095,-0.543,9.145,5
0.095,-0.518,9.315,5
0.077,-0.613,9.763,5
0.059,-0.775,9.498,4
0.049,-0.958,9.609,5
0.077,-1.101,9.517,5
0.075,-1.347,9.551,5
0.096,-1.521,9.368,5
0.093,-1.503,9.021,5
0.068,-1.42,8.981,5
0.102,-1.392,8.928,5
0.133,-1.32,8.85,5
0.197,-1.313,8.663,5
0.183,-1.169,8.518,5
0.091,-0.83,8.853,5
-0.013,-0.535,9.226,5
-0.08,-0.387,9.443,5
-0.047,-0.412,9.034,5
0.148,-0.522,8.653,5
0.361,-0.692,8.838,5
0.542,-0.767,9.07,4
0.563,-0.841,9.316,5
0.489,-0.964,9.216,5
0.301,-1.108,8.976,5
0.178,-1.268,8.839,5
0.109,-1.258,8.991,5
0.144,-1.194,9.073,5
0.327,-1.03,9.29,5
0.336,-1.06,9.187,5
0.301,-1.005,9.396,5
0.298,-0.971,9.348,5
0.299,-0.971,9.823,5
0.36,-0.988,9.921,5
0.33,-1.25,9.784,5
0.409,-1.427,9.487,5
0.55,-1.451,9.435,5
0.68,-1.367,9.732,5
0.743,-1.151,10.115,5
0.797,-1.135,9.971,4
0.748,-1.025,9.997,5
0.659,-1.017,9.866,5
0.585,-1.071,9.764,5
0.536,-1.076,9.516,5
0.533,-1.029,9.124,5
0.576,-0.932,8.953,5
0.602,-0.819,9.098,5
0.682,-0.691,9.569,5
0.712,-0.532,10.004,5
0.733,-0.365,10.216,5
0.821,-0.258,10.213,5
0.947,-0.142,10.285,5
1.105,-0.082,10.201,5
1.19,-0.075,10.14,5
1.188,-0.242,9.751,5
1.016,-0.415,9.199,5
0.849,-0.435,8.766,5
0.748,-0.298,8.757,4
0.762,0.008,9.026,5
0.714,0.195,9.245,5
0.681,0.351,9.539,5
0.737,0.461,9.946,5
0.777,0.417,10.465,5
0.866,0.212,10.957,5
1.013,-0.019,11.111,5
1.117,-0.331,10.528,5
1.255,-0.554,10.402,5
1.454,-0.723,10.121,5
1.528,-0.851,9.891,5
1.53,-0.926,9.689,5
1.395,-0.923,9.497,5
1.286,-0.784,9.425,5
1.228,-0.447,9.65,5
1.214,-0.191,10.121,5
1.248,-0.033,10.256,5
1.276,-0.027,10.156,4
1.341,-0.144,10.291,5
1.408,-0.259,10.365,5
1.488,-0.325,10.159,5
1.629,-0.357,10.153,5
1.691,-0.363,10.326,5
1.671,-0.363,10.279,5
1.649,-0.274,10.306,5
1.619,-0.206,10.082,5
1.507,-0.142,10.123,5
1.382,-0.01,10.275,5
1.245,0.168,10.302,5
1.142,0.367,10.314,5
1.16,0.524,10.077,5
