X,Y,Z,t
0.805,-1.393,9.589,5
0.79,-1.342,9.561,5
0.799,-1.363,9.585,4
0.834,-1.405,9.526,5
0.835,-1.408,9.573,5
0.817,-1.392,9.57,5
0.752,-1.39,9.515,5
0.744,-1.391,9.514,5
0.776,-1.435,9.545,5
0.764,-1.44,9.578,5
0.76,-1.43,9.632,5
0.685,-1.392,9.546,5
0.698,-1.362,9.562,5
0.707,-1.404,9.549,5
0.761,-1.427,9.547,5
0.771,-1.454,9.572,5
0.795,-1.44,9.556,5
0.785,-1.427,9.516,5
0.785,-1.452,9.475,5
0.792,-1.47,9.505,5
0.762,-1.451,9.556,4
0.736,-1.387,9.59,5
0.718,-1.372,9.56,5
0.715,-1.412,9.54,5
0.758,-1.432,9.562,5
0.8,-1.462,9.583,5
0.785,-1.447,9.661,5
0.763,-1.402,9.596,5
0.772,-1.406,9.527,5
0.806,-1.412,9.537,5
0.832,-1.432,9.601,5
0.832,-1.396,9.556,5
0.793,-1.374,9.552,5
0.792,-1.368,9.539,5
0.814,-1.405,9.507,5
0.804,-1.416,9.544,5
0.791,-1.432,9.565,5
0.772,-1.44,9.574,5
0.768,-1.422,9.549,4
0.783,-1.425,9.541,5
0.786,-1.43,9.559,5
0.79,-1.448,9.61,5
0.751,-1.394,9.585,5
0.743,-1.367,9.552,5
0.731,-1.379,9.567,5
0.814,-1.397,9.529,5
0.806,-1.412,9.57,5
0.763,-1.379,9.58,5
0.759,-1.382,9.562,5
0.746,-1.396,9.535,5
0.749,-1.427,9.538,5
0.777,-1.438,9.581,5
0.732,-1.43,9.586,5
0.715,-1.409,9.602,5
0.723,-1.394,9.582,5
0.769,-1.437,9.563,5
0.811,-1.45,9.557,4
0.822,-1.436,9.6,5
0.787,-1.371,9.558,5
0.795,-1.377,9.545,5
0.794,-1.402,9.515,5
0.82,-1.421,9.555,5
0.819,-1.443,9.56,5
0.789,-1.408,9.571,5
0.753,-1.391,9.567,5
0.749,-1.389,9.549,5
0.765,-1.415,9.551,5
0.789,-1.441,9.586,5
